Gender,Position,Type,Date Hired,Campus,Employment Status,Date of Birth,Years of Service,Age
Male,ASSISTANT PROFESSOR IV,FACULTY,9 06 2014,Calinog Campus,PERMANENT,12 09 1989,8,33
Female,ASSISTANT PROFESSOR I,STAFF,11 05 2015,Calinog Campus,PERMANENT,23 01 1987,7,36
Female,COLLEGE LIBRARIAN II,STAFF,18 04 2005,Calinog Campus,PERMANENT,17 03 1984,17,39
Male,ASSISTANT PROFESSOR I,FACULTY,13 06 2017,Calinog Campus,PERMANENT,13 03 1983,5,40
Female,INSTRUCTOR I,FACULTY,17 08 2009,Calinog Campus,PERMANENT,28 06 1981,13,41
Male,ASSISTANT PROFESSOR II,FACULTY,13 06 2017,Calinog Campus,PERMANENT,9 12 1979,5,43
Female,ASSISTANT PROFESSOR III,STAFF,4 11 2002,Calinog Campus,PERMANENT,24 11 1974,20,48
Female,SECURITY GUARD II,STAFF,17 12 2001,Calinog Campus,PERMANENT,30 08 1973,21,49
Female,REGISTRAR III,STAFF,2 01 2002,Calinog Campus,PERMANENT,20 01 1973,21,50
Female,ASSOCIATE PROFESSOR II,FACULTY,1 08 2007,Calinog Campus,PERMANENT,10 11 1972,15,50
Male,ADMINISTRATIVE AIDE VI,STAFF,2 10 1995,Calinog Campus,PERMANENT,6 09 1969,27,53
Female,ADMINISTRATIVE OFFICER I,STAFF,18 01 1993,Calinog Campus,PERMANENT,16 04 1967,30,55
Male,HEAVY EQUIPMENT OPERATOR,STAFF,1 12 2011,Calinog Campus,PERMANENT,10 05 1967,11,55
Female,ASSISTANT PROFESSOR IV,FACULTY,6 11 2017,Calinog Campus,PERMANENT,12 06 1967,5,55
Female,ADMINISTRATIVE OFFICER II,STAFF,16 03 1999,Calinog Campus,PERMANENT,3 07 1966,24,56
Male,ASSOCIATE PROFESSOR III,FACULTY,1 07 1993,Calinog Campus,PERMANENT,9 09 1965,29,57
Female,ADMINISTRATIVE OFFICER V,STAFF,4 01 1993,Calinog Campus,PERMANENT,24 05 1964,30,58
Male,ASSOCIATE PROFESSOR I,FACULTY,13 06 1989,Calinog Campus,PERMANENT,2 05 1964,33,58
Male,FARM WORKER I,STAFF,3 09 2001,Calinog Campus,PERMANENT,27 05 1960,21,62
Female,ASSOCIATE PROFESSOR I,FACULTY,16 06 2016,Calinog Campus,PERMANENT,5 10 1959,6,63
Female,ADMINISTRATIVE AIDE IV,STAFF,11 06 2018,Calinog Campus,PERMANENT,5 01 1988,4,35
Female,ASSOCIATE PROFESSOR III,STAFF,1 12 2011,Calinog Campus,PERMANENT,21 08 1985,11,37
Female,ASSISTANT PROFESSOR IV,FACULTY,1 08 2011,Calinog Campus,PERMANENT,16 04 1984,11,38
Male,ASSISTANT PROFESSOR II,FACULTY,13 06 2017,Calinog Campus,PERMANENT,20 08 1983,5,39
Female,ASSISTANT PROFESSOR IV,FACULTY,1 12 2011,Calinog Campus,PERMANENT,12 09 1983,11,39
Female,ASSOCIATE PROFESSOR V,FACULTY,9 06 2014,Calinog Campus,PERMANENT,4 11 1983,8,39
Male,ASSOCIATE PROFESSOR I,FACULTY,1 09 2010,Calinog Campus,PERMANENT,2 10 1982,12,40
Female,NURSE III,STAFF,27 03 2019,Calinog Campus,PERMANENT,13 07 1982,4,40
Female,NURSE III,STAFF,27 03 2019,Calinog Campus,PERMANENT,13 07 1982,4,40
Male,ASSOCIATE PROFESSOR IV,FACULTY,1 06 2009,Calinog Campus,PERMANENT,8 06 1982,13,40
Female,ADMINISTRATIVE OFFICER I,FACULTY,12 03 2012,Calinog Campus,PERMANENT,29 12 1981,11,41
Female,ASSOCIATE PROFESSOR V,FACULTY,10 06 2008,Calinog Campus,PERMANENT,2 02 1982,14,41
Female,ASSOCIATE PROFESSOR I,FACULTY,13 06 2017,Calinog Campus,PERMANENT,1 01 1982,5,41
Male,ACCOUNTANT II,STAFF,3 11 2008,Calinog Campus,PERMANENT,21 02 1982,14,41
Male,ASSISTANT PROFESSOR II,FACULTY,4 07 2016,Calinog Campus,PERMANENT,7 05 1981,6,41
Female,ASSOCIATE PROFESSOR II,FACULTY,1 08 2007,Calinog Campus,PERMANENT,7 06 1978,15,44
Male,ASSISTANT PROFESSOR I,FACULTY,13 06 2017,Calinog Campus,PERMANENT,13 12 1978,5,44
Male,ASSISTANT PROFESSOR IV,FACULTY,3 07 2006,Calinog Campus,PERMANENT,30 03 1979,16,44
Male,ASSISTANT PROFESSOR IV,FACULTY,9 06 2014,Calinog Campus,PERMANENT,5 10 1977,8,45
Female,ADMINISTRATIVE AIDE IV,STAFF,1 01 2008,Calinog Campus,PERMANENT,19 06 1975,15,47
Male,ADMINISTRATIVE AIDE VI,STAFF,1 03 2005,Calinog Campus,PERMANENT,16 12 1974,18,48
Female,ASSISTANT PROFESSOR II,FACULTY,3 07 2017,Calinog Campus,PERMANENT,10 08 1974,5,48
Female,ASSOCIATE PROFESSOR II,FACULTY,1 06 2011,Calinog Campus,PERMANENT,22 06 1973,11,49
Female,ADMINISTRATIVE AIDE IV,STAFF,23 12 2013,Calinog Campus,PERMANENT,26 10 1970,9,52
Female,ASSISTANT PROFESSOR IV,FACULTY,8 06 1993,Calinog Campus,PERMANENT,25 03 1969,29,54
Male,MECHANIC II,STAFF,2 10 2006,Calinog Campus,PERMANENT,4 08 1967,16,55
Female,ASSOCIATE PROFESSOR V,FACULTY,1 02 2001,Calinog Campus,PERMANENT,11 01 1968,22,55
Male,ADMINISTRATIVE AIDE IV,STAFF,1 08 2011,Calinog Campus,PERMANENT,29 07 1965,11,57
Female,ASSOCIATE PROFESSOR V,FACULTY,15 06 1987,Calinog Campus,PERMANENT,26 05 1963,35,59
Female,ASSOCIATE PROFESSOR V,FACULTY,1 08 1987,Calinog Campus,PERMANENT,24 09 1963,35,59
Female,PROFESSOR VI,FACULTY,16 09 1986,Calinog Campus,PERMANENT,6 10 1963,36,59
Male,PROFESSOR V,STAFF,20 06 1988,Calinog Campus,PERMANENT,16 02 1963,34,60
Female,ASSOCIATE PROFESSOR V,STAFF,1 08 1988,Calinog Campus,PERMANENT,21 05 1962,34,60
Female,ASSOCIATE PROFESSOR IV,STAFF,1 09 1987,Calinog Campus,PERMANENT,22 07 1961,35,61
Male,ASSOCIATE PROFESSOR IV,STAFF,22 06 1994,Calinog Campus,PERMANENT,20 10 1961,28,61
Female,ADMINISTRATIVE AIDE IV (NON-PLANTILLA),STAFF,2 02 2022,Himamaylan Campus,CASUAL,4 10 1997,1,25
Male,INSTRUCTOR I (NON-PLANTILLA),FACULTY,2 02 2022,Himamaylan Campus,CONTRACTUAL,9 12 1996,1,26
Female,BUDGET OFFICER I,STAFF,4 02 2022,Himamaylan Campus,CASUAL,15 05 1996,1,26
Female,INSTRUCTOR I,FACULTY,3 08 2020,Himamaylan Campus,PERMANENT,1 01 1994,2,29
Male,INSTRUCTOR I,FACULTY,17 11 2020,Himamaylan Campus,PERMANENT,5 04 1993,2,30
Female,INSTRUCTOR I,FACULTY,10 10 2019,Himamaylan Campus,PERMANENT,20 01 1993,3,30
Male,ASSISTANT PROFESSOR I,FACULTY,1 12 2022,Himamaylan Campus,PERMANENT,21 05 1991,0,31
Female,INSTRUCTOR I (NON-PLANTILLA),FACULTY,14 10 2021,Himamaylan Campus,CONTRACTUAL,13 05 1990,1,32
Female,ASSISTANT PROFESSOR I,FACULTY,1 12 2022,Himamaylan Campus,PERMANENT,31 10 1989,0,33
Male,INSTRUCTOR I (NON-PLANTILLA),FACULTY,15 09 2022,Himamaylan Campus,CONTRACTUAL,17 11 1984,0,38
Female,INSTRUCTOR I,FACULTY,1 09 2021,Himamaylan Campus,PERMANENT,20 09 1982,1,40
Male,ADMINISTRATIVE AIDE IV (NON-PLANTILLA),FACULTY,27 01 2020,Himamaylan Campus,CASUAL,1 11 1980,3,42
Female,INSTRUCTOR I,FACULTY,10 10 2019,Himamaylan Campus,PERMANENT,12 09 1968,3,54
Female,LIBRARIAN I (TECHNICAL LIBRARIAN),STAFF,6 03 2013,Himamaylan Campus,CASUAL,5 12 1967,10,55
Female,ADMINISTRATIVE AIDE VI (NON-PLANTILLA),STAFF,17 08 2009,Himamaylan Campus,CASUAL,6 09 1965,13,57
Male,ADMINISTRATIVE AIDE IV (NON-PLANTILLA),STAFF,17 08 2009,Himamaylan Campus,CASUAL,16 04 1964,13,58
Male,ADMINISTRATIVE AIDE IV (NON-PLANTILLA),STAFF,17 08 2009,Himamaylan Campus,CASUAL,9 09 1959,13,63
Male,"ADMINISTRATIVE AIDE III (CLERK, PLANNING OFFICE)",STAFF,2 02 2022,Himamaylan Campus,CASUAL,9 12 1995,1,27
Male,ADMINISTRATIVE AIDE VI (NON-PLANTILLA),STAFF,5 04 2021,Himamaylan Campus,CASUAL,28 12 1995,1,27
Male,INSTRUCTOR I (NON-PLANTILLA),FACULTY,1 12 2021,Himamaylan Campus,CONTRACTUAL,2 08 1993,1,29
Female,INSTRUCTOR I,FACULTY,1 09 2022,Himamaylan Campus,PERMANENT,2 12 1990,0,32
Male,INSTRUCTOR I (NON-PLANTILLA),FACULTY,15 09 2022,Himamaylan Campus,CONTRACTUAL,2 11 1990,0,32
Male,INSTRUCTOR I (NON-PLANTILLA),FACULTY,2 02 2022,Himamaylan Campus,CONTRACTUAL,22 02 1991,1,32
Male,ADMINISTRATIVE AIDE IV,STAFF,9 10 2018,Himamaylan Campus,CASUAL,9 06 1986,4,36
Female,INSTRUCTOR I (NON-PLANTILLA),FACULTY,14 10 2021,Himamaylan Campus,CONTRACTUAL,23 10 1986,1,36
Female,NURSE I (NON-PLANTILLA),STAFF,1 06 2017,Himamaylan Campus,CASUAL,16 01 1984,5,39
Male,INSTRUCTOR I (NON-PLANTILLA),FACULTY,2 02 2022,Himamaylan Campus,CONTRACTUAL,17 05 1983,1,39
Male,ADMINISTRATIVE AIDE IV (NON-PLANTILLA),STAFF,1 07 2020,Himamaylan Campus,CASUAL,11 02 1983,2,40
Male,INSTRUCTOR I (NON-PLANTILLA),FACULTY,2 02 2022,Himamaylan Campus,CONTRACTUAL,26 02 1983,1,40
Male,ASSISTANT PROFESSOR IV,FACULTY,1 12 2022,Himamaylan Campus,PERMANENT,3 06 1977,0,45
Male,ADMINISTRATIVE AIDE IV,STAFF,8 04 2014,Himamaylan Campus,CASUAL,25 02 1976,8,47
Female,ASSOCIATE PROFESSOR I,FACULTY,1 12 2022,Himamaylan Campus,PERMANENT,14 06 1974,0,48
Male,"ADMINISTRATIVE AIDE III (CLERK, HRMO)",STAFF,2 02 2022,Himamaylan Campus,CASUAL,10 07 1998,1,24
Male,COMPUTER PROGRAMMER I (NON-PLANTILLA),STAFF,7 09 2022,Himamaylan Campus,CASUAL,10 04 1998,0,24
Female,INSTRUCTOR I,FACULTY,1 02 2021,Himamaylan Campus,PERMANENT,10 04 1997,2,25
Female,ACCOUNTANT I (NON-PLANTILLA),STAFF,14 03 2022,Himamaylan Campus,CASUAL,23 06 1996,1,26
Female,ADMINISTRATIVE AIDE VI (NON-PLANTILLA),STAFF,1 12 2022,Himamaylan Campus,CASUAL,10 02 1997,0,26
Male,INSTRUCTOR I,FACULTY,13 10 2020,Himamaylan Campus,PERMANENT,7 04 1996,2,27
Male,INSTRUCTOR I,FACULTY,1 12 2020,Himamaylan Campus,PERMANENT,23 08 1994,2,28
Male,INSTRUCTOR I,FACULTY,13 10 2020,Himamaylan Campus,PERMANENT,1 06 1994,2,28
Female,INSTRUCTOR I,FACULTY,3 11 2020,Himamaylan Campus,PERMANENT,25 09 1993,2,29
Male,INSTRUCTOR I,FACULTY,1 02 2021,Himamaylan Campus,PERMANENT,18 07 1992,2,30
Female,ADMINISTRATIVE AIDE VI (NON-PLANTILLA),STAFF,11 11 2019,Himamaylan Campus,CASUAL,16 06 1991,3,31
Male,INSTRUCTOR I (NON-PLANTILLA),STAFF,2 02 2022,Himamaylan Campus,CONTRACTUAL,10 11 1989,1,33
Female,ADMINISTRATIVE AIDE VI (NON-PLANTILLA),FACULTY,7 02 2022,Himamaylan Campus,CASUAL,25 11 1989,1,33
Female,ASSISTANT PROFESSOR III,FACULTY,1 12 2022,Himamaylan Campus,PERMANENT,7 01 1988,0,35
Female,INSTRUCTOR I,FACULTY,13 10 2020,Himamaylan Campus,PERMANENT,15 12 1987,2,35
Female,ASSISTANT PROFESSOR II,FACULTY,1 12 2022,Himamaylan Campus,PERMANENT,23 12 1985,0,37
Female,INSTRUCTOR I,FACULTY,13 10 2020,Himamaylan Campus,PERMANENT,17 10 1984,2,38
Female,INSTRUCTOR I,FACULTY,10 10 2019,Himamaylan Campus,PERMANENT,15 12 1982,3,40
Female,ADMINISTRATIVE OFFICER II (NON-PLANTILLA),STAFF,21 02 2011,Himamaylan Campus,CASUAL,23 10 1982,12,40
Female,INSTRUCTOR I (NON-PLANTILLA),FACULTY,15 09 2022,Himamaylan Campus,CONTRACTUAL,10 12 1976,0,46
Male,ADMINISTRATIVE AIDE IV (NON-PLANTILLA),STAFF,2 07 2012,Himamaylan Campus,CASUAL,21 06 1971,10,51
Female,INSTRUCTOR III,STAFF,1 12 2022,Himamaylan Campus,PERMANENT,18 07 1968,0,54
Male,INSTRUCTOR I (NON-PLANTILLA),FACULTY,14 10 2021,Himamaylan Campus,CONTRACTUAL,18 01 1966,1,57
Female,ASSISTANT PROFESSOR IV,FACULTY,1 12 2022,Himamaylan Campus,PERMANENT,21 10 1960,0,62
Female,ASSISTANT PROFESSOR I,STAFF,12 01 2022,Himamaylan Campus,PERMANENT,8 11 1960,1,62
Female,ADMINISTRATIVE AIDE IV (NON-PLANTILLA),STAFF,17 08 2009,Himamaylan Campus,CASUAL,21 02 1960,13,63
Female,ACCOUNTANT II,STAFF,16 02 2021,Janiuay Campus,PERMANENT,1 09 1997,2,25
Male,SECURITY GUARD I,STAFF,9 01 2007,Janiuay Campus,PERMANENT,12 09 1996,16,26
Male,INSTRUCTOR I,FACULTY,16 03 2022,Janiuay Campus,PERMANENT,18 04 1994,1,28
Male,INSTRUCTOR I,FACULTY,16 03 2022,Janiuay Campus,PERMANENT,14 02 1994,1,29
Female,GUIDANCE COUNSELOR II,STAFF,13 06 2007,Janiuay Campus,PERMANENT,1 05 1991,15,31
Female,ADMINISTRATIVE AIDE IV,STAFF,3 01 2022,Janiuay Campus,PERMANENT,11 08 1990,1,32
Female,ASSISTANT PROFESSOR I,FACULTY,6 02 2014,Janiuay Campus,PERMANENT,19 09 1990,9,32
Female,ADMINISTRATIVE OFFICER I,STAFF,12 03 2018,Janiuay Campus,PERMANENT,30 04 1990,5,32
Female,INSTRUCTOR III,FACULTY,11 02 2015,Janiuay Campus,PERMANENT,14 07 1989,8,33
Female,INSTRUCTOR I,FACULTY,16 03 2022,Janiuay Campus,PERMANENT,1 10 1987,1,35
Male,ASSISTANT PROFESSOR IV,FACULTY,2 07 2000,Janiuay Campus,PERMANENT,1 08 1987,22,35
Female,ASSISTANT PROFESSOR II,FACULTY,11 02 2015,Janiuay Campus,PERMANENT,9 09 1983,8,39
Female,ASSISTANT PROFESSOR II,FACULTY,11 02 2015,Janiuay Campus,PERMANENT,9 09 1983,8,39
Female,ASSISTANT PROFESSOR I,FACULTY,1 03 2018,Janiuay Campus,PERMANENT,11 06 1982,5,40
Male,ADMINISTRATIVE AIDE VI,STAFF,13 12 1982,Janiuay Campus,PERMANENT,3 12 1982,40,40
Female,INSTRUCTOR III,FACULTY,29 06 1982,Janiuay Campus,PERMANENT,29 06 1982,40,40
Female,ASSISTANT PROFESSOR III,FACULTY,1 08 2017,Janiuay Campus,PERMANENT,22 02 1983,5,40
Male,COLLEGE LIBRARIAN I,STAFF,11 08 2011,Janiuay Campus,PERMANENT,14 06 1981,11,41
Male,COLLEGE LIBRARIAN I,STAFF,11 08 2011,Janiuay Campus,PERMANENT,14 06 1981,11,41
Male,ASSISTANT PROFESSOR III,FACULTY,2 01 2006,Janiuay Campus,PERMANENT,17 11 1980,17,42
Male,PROFESSOR III,FACULTY,24 08 2005,Janiuay Campus,PERMANENT,1 01 1981,17,42
Female,ASSOCIATE PROFESSOR II,FACULTY,7 03 2006,Janiuay Campus,PERMANENT,27 05 1980,17,42
Female,INSTRUCTOR II,FACULTY,13 06 2007,Janiuay Campus,PERMANENT,3 10 1977,15,45
Female,INSTRUCTOR I,FACULTY,16 04 2022,Janiuay Campus,PERMANENT,16 03 1978,0,45
Male,ADMINISTRATIVE OFFICER V,STAFF,10 02 2006,Janiuay Campus,PERMANENT,28 10 1976,17,46
Female,ASSOCIATE PROFESSOR V,FACULTY,11 03 2004,Janiuay Campus,PERMANENT,1 04 1977,19,46
Male,SECURITY GUARD I,STAFF,1 08 1999,Janiuay Campus,PERMANENT,27 08 1975,23,47
Female,ASSISTANT PROFESSOR I,FACULTY,1 04 2010,Janiuay Campus,PERMANENT,23 04 1975,13,47
Male,ADMINISTRATIVE AIDE IV,STAFF,6 07 1999,Janiuay Campus,PERMANENT,18 05 1972,23,50
Female,ADMINISTRATIVE OFFICER II,STAFF,2 11 2015,Janiuay Campus,PERMANENT,22 07 1970,7,52
Female,ASSISTANT PROFESSOR I,FACULTY,3 01 2017,Janiuay Campus,PERMANENT,26 05 1970,6,52
Male,PROFESSOR VI,FACULTY,1 06 1991,Janiuay Campus,PERMANENT,23 01 1970,31,53
Male,ADMINISTRATIVE AIDE IV,STAFF,1 10 2002,Janiuay Campus,PERMANENT,13 06 1965,20,57
Female,ASSISTANT PROFESSOR IV,FACULTY,1 09 1986,Janiuay Campus,PERMANENT,3 01 1966,36,57
Female,ASSOCIATE PROFESSOR V,FACULTY,1 02 1989,Janiuay Campus,PERMANENT,18 03 1965,34,58
Male,ASSISTANT PROFESSOR IV,FACULTY,19 08 1985,Janiuay Campus,PERMANENT,25 05 1963,37,59
Male,ASSOCIATE PROFESSOR V,FACULTY,7 08 1985,Janiuay Campus,PERMANENT,2 11 1963,37,59
Male,ADMINISTRATIVE AIDE IV,STAFF,16 08 1982,Janiuay Campus,PERMANENT,3 06 1961,40,61
Female,ADMINISTRATIVE AIDE IV,STAFF,1 04 1982,Janiuay Campus,PERMANENT,30 10 1959,41,63
Female,NURSE III,FACULTY,11 05 1998,Janiuay Campus,PERMANENT,3 10 1959,24,63
Female,DENTIST II,STAFF,16 12 2022,Janiuay Campus,PERMANENT,14 04 1996,0,26
Female,ADMINISTRATIVE AIDE IV,STAFF,3 12 2018,Janiuay Campus,PERMANENT,31 05 1995,4,27
Male,ADMINISTRATIVE AIDE IV,STAFF,12 03 2018,Janiuay Campus,PERMANENT,23 11 1993,5,29
Male,INSTRUCTOR I,FACULTY,16 04 2022,Janiuay Campus,PERMANENT,27 11 1991,0,31
Male,ADMINISTRATIVE AIDE IV,STAFF,9 01 2022,Janiuay Campus,PERMANENT,28 08 1991,1,31
Female,ASSISTANT PROFESSOR II,FACULTY,12 02 2013,Janiuay Campus,PERMANENT,7 10 1990,10,32
Female,ASSISTANT PROFESSOR III,FACULTY,11 02 2015,Janiuay Campus,PERMANENT,3 09 1988,8,34
Male,ASSISTANT PROFESSOR I,FACULTY,3 01 2017,Janiuay Campus,PERMANENT,31 07 1985,6,37
Female,ASSISTANT PROFESSOR III,FACULTY,1 05 2015,Janiuay Campus,PERMANENT,22 11 1984,7,38
Female,ADMINISTRATIVE AIDE IV,STAFF,3 01 2022,Janiuay Campus,PERMANENT,8 09 1984,1,38
Female,ASSISTANT PROFESSOR III,FACULTY,11 06 2006,Janiuay Campus,PERMANENT,20 08 1983,16,39
Male,ADMINISTRATIVE OFFICER II,STAFF,2 11 2015,Janiuay Campus,PERMANENT,1 09 1980,7,42
Female,ASSISTANT PROFESSOR I,FACULTY,3 01 2017,Janiuay Campus,PERMANENT,8 03 1980,6,43
